year,product_code,cyp_per_unit
2016,AS17005,120
2017,AS17005,120
2018,AS17005,120
2019,AS17005,120
2020,AS17005,120
2022,AS17005,120
2016,AS46000,120
2017,AS46000,120
2018,AS46000,120
2019,AS46000,120
2020,AS46000,120
2022,AS46000,120
2016,AS27139,20
2017,AS27139,20
2018,AS27139,20
2019,AS27139,20
2020,AS27139,20
2022,AS27139,20
2016,AS27137,3.8
2017,AS27137,3.8
2018,AS27137,3.8
2019,AS27137,3.8
2020,AS27137,3.8
2022,AS27137,3.8
2016,AS27138,2.5
2017,AS27138,2.5
2018,AS27138,2.5
2019,AS27138,2.5
2020,AS27138,2.5
2022,AS27138,2.5
2016,AS21126,3.988
2017,AS21126,3.988
2018,AS21126,3.988
2019,AS21126,3.988
2020,AS21126,3.988
2022,AS21126,3.988
2016,AS27134,6
2017,AS27134,6
2018,AS27134,6
2019,AS27134,6
2020,AS27134,6
2022,AS27134,6
2016,AS42018,4.6
2017,AS42018,4.6
2018,AS42018,4.6
2019,AS42018,4.6
2020,AS42018,4.6
2022,AS42018,4.6
2016,AS27000,3.988
2017,AS27000,3.988
2018,AS27000,3.988
2019,AS27000,3.988
2020,AS27000,3.988
2022,AS27000,3.988
2016,AS27132,12.961
2017,AS27132,12.961
2018,AS27132,12.961
2019,AS27132,12.961
2020,AS27132,12.961
2022,AS27132,12.961
2016,AS27133,4
2017,AS27133,4
2018,AS27133,4
2019,AS27133,4
2020,AS27133,4
2022,AS27133,4
